id,es,en
CH1,"Todos los destinos de este viaje, todos!! Eran guijarros de rotas botellas,  unos de Whiskey, otros de Vodka … sabores amargos que  preceden  vómitos y diarreas.
Dónde estás mi fiel compañera, pasiva durmiente bajo la almohada. 
Te abro, te bebo y marcho lejos. Otro trago, otra huída. Otra noche.",
CH2,"Dónde estás mi fiel compañera, pasiva durmiente bajo la almohada. ",
CH3,"Tu mirada sobre un libro, que  fingías leer, tu mente  volando hacia ellos, los mártires de la causa, los consejos sobre la distancia, el espacio, el tiempo.",
CH4,"Olores químicos de propulsores baratos, cálidas llamas en vientos solares, impulsadme hasta mi próximo nudo, hasta mi gran destino, tu que me esperas Dios Tecnócrata del pasado, ya sabes que llevo algo para ti, me sobra tanta carga .. tanto he inspirado y expirado, tantas veces de más. Yo se que tu me entiendes mi viejo enemigo, tú que te llevaste a lo que más quería.",
CH5,"Otro impulso saciado de más, otro hilo delegado a el marionetista, sin oponer resistencia, todo fluye, todo se disipa,  mientras floto en la mierda espacial. Alguien la soltó ahí mientras miraba a otra parte.. Nunca me  quise girar, y contemplar cómo se creaba, prefería el engaño y la sonrisa, aguantar la respiración, contar hasta 10.",
CH6,"Sus ojos se clavaban en mi alma, su sonrisa era lo único que acariciaba mi jodido corazón, lo apretaba haciéndolo palpitar, este corazón que tiempo atrás se había vuelto vago y mudo, volvía a despertar  con ese amanecer, y después, el frío y el gris se cernía sobre él , y recobraba su estado estático y rígido.",
CH7,"Un día ya no salió el Sol, y el hogar, hogar ya no era … se durmió siendo hogar y despertó siendo casa, cuatro paredes diáfanas de cariño. Ella se había marchado, había atravesado su zona de confort y dejado atrás el ancla del perdedor en la ue me había convertido.",
CH8,"Hay gente que al menos tiene padres maltratadores, familias rotas incapaces de regar a sus retoños de algo de autoestima y suficiencia.  Ojalá fuera ese mi caso, al menos podría echar la culpa de mis actos a mi pasado. 
Soy uno de esos desgraciados que nacen así, con facilidad para el fracaso. 
Oh sí, fracaso es mi segundo nombre.",
CH9,"Verdugos enmascarados de salvación, tal vez deberíais haber venido a por mí, yo hubiera sido una víctima fácil, a lo mejor sabíais que os llevaría conmigo a la depresión más absoluta,os daré una última oportunidad de recatarme de las tinieblas.",
CH10,"Tecnologías arcanas, os estoy esperando, quiero meteros  la popa de mi nave por donde más os duela, que el óxido  de esta ruín cafetera os haga sentir el el amoníaco que vertísteis en mis  ojos.  Yo lo vertiré en lo más profundo de vuestros intestinos.",
CH11,"Viajo, y descanso aletargado, dejándome llevar por la soga de mi final, la que me colgará de un árbol… que ilusión encontrar la calma, de camino a la nada.",
CH12,"Y vosotros, sucios gusanos, ¿habéis preparado ya la mesa?, ¿habéis afilado vuestros cubiertos y servilletas?, se que me esperáis ansiosos, con infinita calma. Estáis esperando que me rinda, que abra la escotilla de esta nave, que aspire el sutil brebaje del silencio, que lo abraze y deje lista la comida.",
CH13,"Y vosotros sucios gusanos, que me esperáis con vuestra empática sonrisa,
... que se que solo queréis acariciarme, 
… para que duerma y os deje hacer, para que me convirtáis en algo útil,
En el mejor abono de crisálidas.",
CH14,"Hoy te recé Señor Arcano, Señor ladrón de sueños, y di los tres suspiros que me pediste, y me sentí antigua tecnología, al final despertaré en tu reino, y podré mirar a tus ojos, así veré los ojos de ella que también te miraron, y gritaré hasta que mis órganos dejen mi cuerpo.",
CH15,"Ráfagas de estrellas mientras surco el viento solar, leo en el cielo como en runas sobre el mar, me dicen que os encontraré antes de morir, o moriré cantando  aquella nana, que le cantabas al nuestro bebé.",
CH16,"Y si en vez de se sentir por mi, sintiera por ella, y si ella sintiera por mi, y si la soledad no fuera una enemiga, sino un trago cuando tenga sed. El sabor del vino en mi paladar, aquel antiguo sabor de madera y acidez. ¿Puedes sentirlo compañera? … ¿sientes ahora mi sed?",
CH17,"Parpadean luces fuera, me cuentan historias escritas en morse, que yo creo entender.
Bajo una nebulosa lejana, se ocultan secretos que debes saber, si bebieras de ese cáliz, tal vez jamás vuelva a tener recuerdos. Que se desvanezcan los momentos que anhelas retener.",
CH18,"Una nave sin estela como un androide sin directivas, a la deriva, esperando nuevas corrutinas que le marquen un peor destino, deseando que un bug le ordene matar a su amo.",
